Folder name;Ka;Duration (s);Sawing range (m);Repetitions;Z decrements (m);Object
06_05/01;0,005;2;0,03;1;0,02;zucchini
06_05/02;0,0001;2;0,03;1;0,02;zucchini
06_05/03;0,0005;2;0,03;1;0,02;zucchini
06_05/04;0,001;2;0,03;1;0,02;zucchini
06_05/05;0,001;2;0,03;1;0,02;zucchini
06_05/06;0,001;2;0,03;1;0,02;carrot
06_05/07;0,005;2;0,04;1;0,02;zucchini
06_05/08;0,005;2;0,04;1;0,02;zucchini
06_05/09;0,008;2;0,04;1;0,02;zucchini
06_05/10;0,008;2;0,04;2;0,02;zucchini
06_05/11;0,01;2;0,04;2;0,02;zucchini
06_05/12;0,01;2;0,04;2;0,02;carrot
06_05/13;0,01;2;0,04;2;0,02;carrot
06_05/14;0,008;2;0,04;2;0,02;carrot
06_05/15;0,008;2;0,04;2;0,01;carrot
06_05/16;0,008;3;0,04;2;0,01;carrot
06_05/17;0,005;3;0,04;2;0,01;carrot
06_05/18;0,005;4;0,04;2;0,01;carrot
06_05/19;0,008;4;0,04;2;0,01;carrot
06_05/20;0,008;4;0,04;3;0,01;carrot
06_05/21;0,008;4;0,04;3;0,01;carrot
12_05/03;0,005;4;0,04;2;0,02;potato
12_05/04;0,005;4;0,04;2;0,01;potato
12_05/05;0,005;4;0,04;3;0,01;potato
12_05/06;0,005;3;0,04;3;0,01;potato
12_05/07;0,001;3;0,04;3;0,01;potato
12_05/08;0,001;3;0,04;2;0,01;potato
12_05/09;0,001;3;0,04;2;0,01;potato
12_05/10;0,005;3;0,04;2;0,01;potato
12_05/11;0,005;3;0,04;3;0,01;potato
12_05/12;0,005;3;0,04;3;0,01;potato
12_05/13;0,005;4;0,04;3;0,01;potato
12_05/14;0,005;4;0,04;3;0,01;potato
12_05/15;0,005;4;0,05;3;0,01;potato
12_05/16;0,005;4;0,05;3;0,01;potato
12_05/17;0,008;4;0,05;3;0,01;potato
12_05/18;0,008;3;0,05;3;0,01;potato
12_05/19;0,01;3;0,05;3;0,01;potato
12_05/20;0,01;3;0,05;3;0,01;potato
12_05/21;0,01;3;0,05;3;0,01;potato
12_05/22;0,005;3;0,05;3;0,01;carrot
12_05/23;0,005;2;0,03;3;0,01;carrot
12_05/24;0,008;2;0,03;3;0,01;carrot
